id,label_str,pred_str,p_A,label_num
0,B,A,0.76629364,0
1,B,B,0.04208773,0
2,B,B,0.04208773,0
3,A,B,0.02161533,1
4,B,A,0.73105854,0
5,B,B,0.30735803,0
6,B,B,0.23370634,0
7,B,B,0.12592277,0
8,A,B,0.03514485,1
9,B,B,0.00555493,0
10,A,A,0.66541058,1
11,B,B,0.42250463,0
12,A,A,0.70578504,1
13,B,B,0.06754670,0
14,B,B,0.05665243,0
15,B,A,0.69264197,0
16,A,A,0.67917871,1
17,B,B,0.02442309,0
18,A,A,0.96485513,1
19,B,B,0.02033235,0
20,B,B,0.03514485,0
21,B,A,0.99986017,0
22,B,B,0.19193280,0
23,A,B,0.00170072,1
24,A,A,0.98308510,1
25,A,B,0.40733343,1
26,A,A,0.56217653,1
27,A,B,0.10087861,1
28,B,B,0.01322282,0
29,B,A,0.87407720,0
30,A,A,0.94659668,1
31,A,B,0.39233685,1
32,B,B,0.16451645,0
33,A,A,0.96691406,1
34,A,A,0.74316794,1
35,A,B,0.00757724,1
36,B,B,0.00382448,0
37,A,A,0.73105854,1
38,B,A,0.59266663,0
39,A,A,0.86703575,1
