id,label_str,pred_str,p_A,label_num
0,A,A,0.62245935,1
1,B,B,0.00170072,0
2,B,B,0.48438010,0
3,A,B,0.06008665,1
4,A,B,0.04208773,1
5,A,A,0.98308510,1
6,A,A,0.96267307,1
7,A,A,0.87407720,1
8,B,B,0.22270015,0
9,B,A,0.96036118,0
10,A,B,0.14804719,1
11,B,A,0.91490096,0
12,B,B,0.07159120,0
13,A,A,0.63703084,1
14,A,A,0.50000000,1
15,B,B,0.33458945,0
16,B,B,0.30735803,0
17,A,A,0.93628502,1
18,B,B,0.00712143,0
19,A,A,0.93245327,1
20,A,B,0.46879065,1
21,B,B,0.30735803,0
22,B,B,0.00712143,0
23,B,B,0.01032815,0
24,A,B,0.01322282,1
25,A,A,0.97838473,1
26,B,B,0.01406363,0
27,A,A,0.90465051,1
28,A,B,0.22270015,1
29,A,A,0.98756832,1
30,A,A,0.88079703,1
31,A,B,0.40733343,1
32,A,A,0.99617553,1
33,B,A,0.83548355,0
34,A,A,0.51561993,1
35,A,A,0.92840880,1
36,B,B,0.33458945,0
37,B,A,0.78793120,0
38,B,B,0.02931223,0
39,B,A,0.80806720,0
40,B,B,0.02161533,0
41,B,A,0.70578504,0
42,A,A,0.80806720,1
43,B,B,0.08509904,0
44,B,B,0.23370634,0
45,B,B,0.01406363,0
46,A,B,0.11920292,1
47,B,B,0.00407014,0
48,A,A,0.53120941,1
49,B,B,0.00522013,0
