id,label_str,pred_str,p_A,label_num
0,B,A,0.54673815,0
1,A,A,0.77729988,1
2,A,A,0.70578504,1
3,B,A,0.66541058,0
4,B,A,0.73105854,0
5,B,A,0.67917871,0
6,B,A,0.53120941,0
7,B,B,0.48438010,0
8,A,A,0.53120941,1
9,A,B,0.42250463,1
10,B,A,0.50000000,0
11,B,A,0.53120941,0
12,B,A,0.73105854,0
13,B,A,0.50000000,0
14,A,A,0.63703084,1
15,B,A,0.70578504,0
16,B,A,0.62245935,0
17,B,A,0.69264197,0
18,B,A,0.63703084,0
19,B,A,0.54673815,0
20,A,A,0.62245935,1
21,A,B,0.45326188,1
22,A,A,0.50000000,1
23,A,A,0.67917871,1
24,A,B,0.45326188,1
25,B,A,0.60766321,0
26,B,A,0.50000000,0
27,A,A,0.66541058,1
28,B,A,0.50000000,0
29,B,A,0.60766321,0
30,B,B,0.46879065,0
31,A,A,0.54673815,1
32,B,A,0.62245935,0
33,B,A,0.69264197,0
34,B,A,0.53120941,0
35,B,A,0.53120941,0
36,A,B,0.43782350,1
37,A,A,0.67917871,1
38,B,A,0.70578504,0
39,A,A,0.66541058,1
