id,label_str,pred_str,p_A,label_num
0,A,A,0.51561993,1
1,A,A,0.73105854,1
2,A,A,0.67917871,1
3,A,A,0.71859437,1
4,B,B,0.43782350,0
5,A,A,0.63703084,1
6,A,A,0.69264197,1
7,B,A,0.50000000,0
8,A,A,0.57749540,1
9,A,A,0.57749540,1
10,B,A,0.81757444,0
11,B,A,0.53120941,0
12,B,A,0.54673815,0
13,A,A,0.57749540,1
14,B,A,0.65135491,0
15,B,A,0.66541058,0
16,A,A,0.66541058,1
17,B,B,0.42250463,0
18,B,A,0.53120941,0
19,A,A,0.56217653,1
20,A,A,0.54673815,1
21,A,A,0.59266663,1
22,B,A,0.54673815,0
23,A,A,0.62245935,1
24,A,A,0.62245935,1
25,B,A,0.60766321,0
26,A,A,0.66541058,1
27,A,A,0.59266663,1
28,A,A,0.62245935,1
29,A,A,0.53120941,1
30,B,A,0.60766321,0
31,A,A,0.69264197,1
32,B,A,0.57749540,0
33,A,A,0.60766321,1
34,A,A,0.65135491,1
35,A,A,0.62245935,1
36,A,B,0.46879065,1
37,A,B,0.43782350,1
38,A,A,0.59266663,1
39,B,A,0.51561993,0
40,B,A,0.54673815,0
41,A,A,0.62245935,1
42,B,A,0.56217653,0
43,A,A,0.56217653,1
44,B,A,0.60766321,0
45,B,A,0.57749540,0
46,B,B,0.45326188,0
47,A,A,0.59266663,1
48,A,B,0.46879065,1
49,B,A,0.62245935,0
