id,label_str,pred_str,p_A,label_num
0,B,A,0.98794621,0
1,B,B,0.00002144,0
2,B,B,0.00001385,0
3,B,B,0.00000003,0
4,A,B,0.01798621,1
5,A,B,0.00000000,1
6,B,A,0.59266663,0
7,A,B,0.04208773,1
8,B,B,0.00000001,0
9,B,B,0.00000007,0
10,A,A,0.99999976,1
11,A,A,0.99999917,1
12,A,A,0.99999988,1
13,A,B,0.00000002,1
14,B,A,1.00000000,0
15,B,B,0.00000176,0
16,A,B,0.00000025,1
17,B,A,0.99990976,0
18,B,B,0.00000002,0
19,A,A,0.57749540,1
20,A,A,0.99999952,1
21,B,B,0.46879065,0
22,B,A,1.00000000,0
23,A,A,1.00000000,1
24,A,A,0.77729988,1
25,A,A,1.00000000,1
26,B,B,0.00000171,0
27,B,B,0.00000001,0
28,B,A,0.99744910,0
29,B,B,0.00000013,0
30,A,B,0.00000010,1
31,A,A,0.99999976,1
32,A,B,0.00000009,1
33,A,A,0.99999976,1
34,B,B,0.42250463,0
35,A,B,0.00000000,1
36,A,A,0.99999464,1
37,B,B,0.00000008,0
38,B,A,0.99999988,0
39,A,B,0.01798621,1
40,B,B,0.00041732,0
41,B,B,0.00000436,0
42,B,B,0.00031504,0
43,B,A,0.99987662,0
44,B,B,0.00000001,0
45,B,A,0.99999940,0
46,B,A,0.99995995,0
47,A,A,1.00000000,1
48,B,B,0.00000006,0
49,A,A,1.00000000,1
