id,label_str,pred_str,p_A,label_num
0,B,B,0.00000000,0
1,B,A,1.00000000,0
2,A,B,0.00000801,1
3,B,B,0.00000000,0
4,B,A,1.00000000,0
5,A,A,0.77729988,1
6,B,A,0.99986017,0
7,A,B,0.00000093,1
8,A,A,1.00000000,1
9,A,B,0.00032504,1
10,B,B,0.00000000,0
11,B,A,1.00000000,0
12,B,B,0.00000000,0
13,B,A,1.00000000,0
14,A,A,0.99975461,1
15,A,A,1.00000000,1
16,B,B,0.00000000,0
17,A,B,0.00000000,1
18,B,A,0.99994850,0
19,B,A,0.75491500,0
20,B,A,1.00000000,0
21,B,B,0.02297737,0
22,A,A,0.98901308,1
23,A,A,1.00000000,1
24,B,B,0.00000000,0
25,B,A,1.00000000,0
26,A,A,0.83114308,1
27,A,B,0.00066670,1
28,B,A,1.00000000,0
29,B,A,1.00000000,0
30,B,A,0.99999988,0
31,A,B,0.00000047,1
32,B,B,0.00000000,0
33,A,A,0.99992514,1
34,B,B,0.14804719,0
35,B,B,0.00000000,0
36,B,A,1.00000000,0
37,B,A,1.00000000,0
38,A,B,0.01168726,1
39,B,B,0.00000000,0
40,B,B,0.00027803,0
41,B,B,0.00000000,0
42,B,A,1.00000000,0
43,A,B,0.00000000,1
44,B,A,1.00000000,0
45,A,B,0.00000001,1
46,B,B,0.00000000,0
47,A,A,1.00000000,1
48,B,B,0.00000000,0
49,A,B,0.00000000,1
