id,label_str,pred_str,p_A,label_num
0,B,B,0.07585818,0
1,A,A,0.95257413,1
2,A,A,0.80806720,1
3,A,B,0.48438010,1
4,A,A,0.85966372,1
5,A,A,0.54673815,1
6,B,B,0.10669060,0
7,B,A,0.93991333,0
8,A,A,0.53120941,1
9,A,B,0.07585818,1
10,A,A,0.90990698,1
11,B,B,0.19193280,0
12,B,B,0.34864515,0
13,B,A,0.98504293,0
14,A,B,0.34864515,1
15,A,A,0.94334757,1
16,B,A,0.99193794,0
17,A,B,0.07159120,1
18,A,B,0.25683200,1
19,A,A,0.75491500,1
20,A,A,0.87407720,1
21,A,A,0.76629364,1
22,A,A,0.93245327,1
23,B,B,0.00080409,0
24,A,B,0.33458945,1
25,B,B,0.03114383,0
26,B,B,0.06008665,0
27,A,B,0.01590639,1
28,A,B,0.12592277,1
29,A,A,0.70578504,1
30,A,B,0.01590639,1
31,B,A,0.57749540,0
32,A,A,0.66541058,1
33,A,A,0.67917871,1
34,B,B,0.37754068,0
35,A,B,0.39233685,1
36,A,A,0.94966936,1
37,A,A,0.67917871,1
38,B,A,0.66541058,0
39,A,A,0.63703084,1
