id,label_str,pred_str,p_A,label_num
0,A,A,0.74316794,1
1,B,B,0.11920292,0
2,B,B,0.09009299,0
3,B,B,0.00806199,0
4,A,A,0.73105854,1
5,B,B,0.02033235,0
6,A,A,0.96036118,1
7,B,A,0.62245935,0
8,A,B,0.07159120,1
9,A,A,0.70578504,1
10,B,A,0.65135491,0
11,A,B,0.46879065,1
12,A,A,0.93628502,1
13,B,B,0.40733343,0
14,A,A,0.69264197,1
15,B,B,0.06754670,0
16,B,B,0.06008665,0
17,A,A,0.90990698,1
18,B,B,0.08509904,0
19,A,B,0.43782350,1
20,A,B,0.34864515,1
21,B,B,0.05340333,0
22,A,A,0.98901308,1
23,B,B,0.09009299,0
24,B,B,0.00407014,0
25,B,B,0.37754068,0
26,A,A,0.86703575,1
27,B,B,0.37754068,0
28,B,A,0.88720459,0
29,B,B,0.03308598,0
30,A,A,0.98756832,1
31,B,B,0.26894143,0
32,B,A,0.97838473,0
33,B,B,0.14804719,0
34,B,A,0.91490096,0
35,B,B,0.09009299,0
36,B,B,0.08035747,0
37,A,B,0.09009299,1
38,B,B,0.29421496,0
39,A,B,0.02758528,1
