id,label_str,pred_str,p_A,label_num
0,B,B,0.00050334,0
1,A,B,0.34864515,1
2,A,A,0.69264197,1
3,A,A,0.99983132,1
4,B,A,0.71859437,0
5,A,A,0.99142247,1
6,A,A,0.99959558,1
7,B,A,0.50000000,0
8,B,B,0.00006014,0
9,A,A,0.99941158,1
10,A,A,0.99890125,1
11,B,A,0.98593640,0
12,A,A,0.99973875,1
13,A,A,0.99867493,1
14,B,B,0.00006205,0
15,A,A,0.96885622,1
16,B,B,0.00029596,0
17,A,A,0.99908900,1
18,B,A,0.96691406,0
19,B,B,0.00141036,0
20,A,A,0.99998426,1
21,B,B,0.00009028,0
22,B,B,0.00159785,0
23,B,B,0.30735803,0
24,B,A,0.99287862,0
25,B,B,0.48438010,0
26,A,A,0.96036118,1
27,B,B,0.00044422,0
28,A,A,0.99982053,1
29,A,A,0.99794930,1
30,A,A,0.99959558,1
31,B,B,0.02442309,0
32,A,A,0.99968493,1
33,B,B,0.00029596,0
34,B,B,0.00400729,0
35,A,B,0.34864515,1
36,A,B,0.39233685,1
37,A,A,0.99999630,1
38,B,B,0.00000777,0
39,B,B,0.00013982,0
40,B,B,0.00010890,0
41,B,B,0.01098694,0
42,B,B,0.00006605,0
43,B,B,0.02297737,0
44,B,B,0.02297737,0
45,A,B,0.04468087,1
46,A,A,0.99858958,1
47,A,A,0.90990698,1
48,A,A,0.99948066,1
49,B,B,0.00021654,0
