id,label_str,pred_str,p_A,label_num
0,A,A,0.99990976,1
1,A,A,0.99999940,1
2,A,B,0.00000241,1
3,B,B,0.43782350,0
4,B,A,0.99640638,0
5,B,B,0.09009299,0
6,A,A,0.91490096,1
7,A,A,0.99999213,1
8,A,A,0.99944717,1
9,B,B,0.06008665,0
10,B,B,0.00000027,0
11,A,B,0.00000000,1
12,B,B,0.32082132,0
13,A,A,0.75491500,1
14,B,A,0.99999976,0
15,A,B,0.00003120,1
16,B,B,0.00005144,0
17,A,B,0.00001222,1
18,B,A,0.95257413,0
19,A,B,0.00023051,1
20,B,A,0.97068775,0
21,A,B,0.00000479,1
22,B,B,0.00017953,0
23,B,A,1.00000000,0
24,B,B,0.00000002,0
25,A,A,0.79818678,1
26,A,A,0.77729988,1
27,A,B,0.01590639,1
28,A,B,0.00000007,1
29,B,A,0.98201376,0
30,B,B,0.00000129,0
31,B,B,0.02161533,0
32,A,A,0.70578504,1
33,B,B,0.00000000,0
34,B,B,0.00002144,0
35,B,B,0.00012339,0
36,A,A,0.99640638,1
37,A,B,0.00032504,1
38,A,B,0.00000009,1
39,A,B,0.00012339,1
40,A,B,0.00055278,1
41,B,A,0.99976951,0
42,A,A,1.00000000,1
43,A,A,0.99999797,1
44,B,B,0.00000373,0
45,B,A,0.99883050,0
46,B,A,1.00000000,0
47,A,B,0.00019110,1
48,A,A,0.98409361,1
49,B,A,0.99999666,0
