id,label_str,pred_str,p_A,label_num
0,A,A,0.56217653,1
1,B,B,0.43782350,0
2,B,B,0.42250463,0
3,A,A,0.65135491,1
4,B,B,0.46879065,0
5,A,A,0.51561993,1
6,B,B,0.48438010,0
7,B,A,0.56217653,0
8,A,B,0.40733343,1
9,B,B,0.42250463,0
10,B,A,0.51561993,0
11,B,A,0.53120941,0
12,B,A,0.59266663,0
13,B,B,0.45326188,0
14,B,B,0.43782350,0
15,A,A,0.56217653,1
16,B,A,0.56217653,0
17,A,A,0.62245935,1
18,A,B,0.48438010,1
19,B,A,0.54673815,0
20,B,A,0.54673815,0
21,A,A,0.57749540,1
22,B,A,0.51561993,0
23,A,A,0.53120941,1
24,A,B,0.39233685,1
25,B,B,0.42250463,0
26,B,A,0.56217653,0
27,A,A,0.65135491,1
28,B,B,0.37754068,0
29,B,B,0.45326188,0
30,A,A,0.54673815,1
31,B,A,0.51561993,0
32,A,A,0.59266663,1
33,B,B,0.46879065,0
34,B,A,0.59266663,0
35,B,A,0.63703084,0
36,A,A,0.54673815,1
37,A,A,0.56217653,1
38,A,B,0.48438010,1
39,A,B,0.40733343,1
40,B,A,0.60766321,0
41,A,A,0.59266663,1
42,A,A,0.51561993,1
43,B,A,0.50000000,0
44,A,A,0.57749540,1
45,A,B,0.43782350,1
46,A,B,0.40733343,1
47,A,B,0.46879065,1
48,B,A,0.62245935,0
49,B,A,0.54673815,0
