id,label_str,pred_str,p_A,label_num
0,A,A,1.00000000,1
1,A,A,0.99807322,1
2,A,B,0.00000199,1
3,A,A,1.00000000,1
4,B,B,0.00000005,0
5,B,A,0.99998522,0
6,A,B,0.00055278,1
7,B,A,0.99954176,0
8,A,A,1.00000000,1
9,B,B,0.00000094,0
10,B,A,0.99998331,0
11,A,A,0.99999964,1
12,A,B,0.00000025,1
13,A,A,0.99774820,1
14,A,B,0.00000008,1
15,A,A,1.00000000,1
16,B,B,0.00000000,0
17,B,A,0.67917871,0
18,B,A,0.99999046,0
19,B,B,0.37754068,0
20,A,A,1.00000000,1
21,A,A,0.99999714,1
22,A,B,0.00000952,1
23,A,B,0.00000114,1
24,B,A,0.99997067,0
25,B,A,0.99998856,0
26,B,B,0.00000022,0
27,B,A,0.98201376,0
28,B,B,0.00000025,0
29,B,A,1.00000000,0
30,B,B,0.00000000,0
31,A,A,1.00000000,1
32,A,B,0.13296424,1
33,B,A,1.00000000,0
34,A,B,0.00005144,1
35,B,B,0.00490541,0
36,A,B,0.00000025,1
37,B,B,0.10669060,0
38,B,A,0.98831278,0
39,A,B,0.00522013,1
