id,label_str,pred_str,p_A,label_num
0,A,A,0.65135491,1
1,B,A,0.85195285,0
2,A,B,0.18242551,1
3,B,B,0.46879065,0
4,B,A,0.57749540,0
5,B,A,0.51561993,0
6,B,A,0.69264197,0
7,A,A,0.63703084,1
8,B,B,0.21206881,0
9,B,B,0.09534946,0
10,B,A,0.70578504,0
11,B,B,0.29421496,0
12,B,B,0.21206881,0
13,A,B,0.37754068,1
14,B,B,0.43782350,0
15,B,A,0.59266663,0
16,A,A,0.50000000,1
17,A,B,0.25683200,1
18,B,B,0.23370634,0
19,A,B,0.46879065,1
20,A,B,0.42250463,1
21,B,B,0.42250463,0
22,A,B,0.37754068,1
23,A,B,0.33458945,1
24,B,A,0.79818678,0
25,B,A,0.73105854,0
26,A,B,0.34864515,1
27,B,A,0.69264197,0
28,B,B,0.37754068,0
29,A,B,0.42250463,1
30,B,B,0.21206881,0
31,B,B,0.19193280,0
32,B,B,0.17328820,0
33,A,B,0.21206881,1
34,B,B,0.11920292,0
35,B,B,0.21206881,0
36,A,A,0.59266663,1
37,B,B,0.46879065,0
38,A,A,0.71859437,1
39,B,B,0.17328820,0
