id,label_str,pred_str,p_A,label_num
0,A,A,0.50000000,1
1,B,B,0.36296922,0
2,A,A,0.54673815,1
3,B,A,0.51561993,0
4,B,B,0.32082132,0
5,A,A,0.50000000,1
6,A,B,0.48438010,1
7,B,A,0.53120941,0
8,B,B,0.42250463,0
9,A,B,0.43782350,1
10,A,A,0.53120941,1
11,A,B,0.34864515,1
12,A,A,0.56217653,1
13,B,B,0.46879065,0
14,A,B,0.43782350,1
15,A,B,0.48438010,1
16,B,B,0.46879065,0
17,A,A,0.53120941,1
18,A,B,0.39233685,1
19,A,A,0.59266663,1
20,A,A,0.51561993,1
21,B,A,0.60766321,0
22,A,A,0.53120941,1
23,B,A,0.51561993,0
24,A,A,0.53120941,1
25,A,A,0.51561993,1
26,A,B,0.43782350,1
27,B,A,0.54673815,0
28,B,B,0.25683200,0
29,A,B,0.42250463,1
30,B,A,0.53120941,0
31,B,A,0.50000000,0
32,A,B,0.37754068,1
33,B,B,0.33458945,0
34,A,B,0.39233685,1
35,B,A,0.57749540,0
36,A,A,0.54673815,1
37,B,A,0.57749540,0
38,B,B,0.42250463,0
39,B,B,0.48438010,0
