id,label_str,pred_str,p_A,label_num
0,B,A,0.59266663,0
1,B,A,0.54673815,0
2,B,B,0.39233685,0
3,A,A,0.50000000,1
4,B,A,0.54673815,0
5,A,A,0.50000000,1
6,A,B,0.40733343,1
7,A,A,0.76629364,1
8,B,B,0.46879065,0
9,A,A,0.54673815,1
10,A,B,0.40733343,1
11,A,A,0.62245935,1
12,B,B,0.28140560,0
13,B,A,0.70578504,0
14,A,B,0.37754068,1
15,B,B,0.23370634,0
16,B,B,0.26894143,0
17,A,A,0.71859437,1
18,A,A,0.51561993,1
19,A,A,0.67917871,1
20,A,A,0.54673815,1
21,B,A,0.56217653,0
22,A,A,0.59266663,1
23,A,B,0.46879065,1
24,A,B,0.48438010,1
25,B,A,0.53120941,0
26,A,B,0.28140560,1
27,A,A,0.77729988,1
28,B,B,0.34864515,0
29,A,B,0.37754068,1
30,B,A,0.57749540,0
31,B,A,0.54673815,0
32,A,A,0.70578504,1
33,B,A,0.65135491,0
34,B,B,0.33458945,0
35,A,B,0.40733343,1
36,A,B,0.48438010,1
37,B,B,0.32082132,0
38,B,A,0.63703084,0
39,B,A,0.56217653,0
