id,label_str,pred_str,p_A,label_num
0,A,B,0.03514485,1
1,A,B,0.01032815,1
2,A,A,0.97966766,1
3,A,B,0.25683200,1
4,B,B,0.00433150,0
5,A,A,0.99794930,1
6,B,B,0.12592277,0
7,A,B,0.00037998,1
8,A,B,0.13296424,1
9,B,A,0.96885622,0
10,B,B,0.01590639,0
11,A,B,0.00205074,1
12,B,B,0.12592277,0
13,A,B,0.22270015,1
14,A,A,0.93628502,1
15,A,B,0.03732688,1
16,A,B,0.21206881,1
17,A,A,0.54673815,1
18,A,A,0.94659668,1
19,A,B,0.00628990,1
20,B,A,0.93628502,0
21,A,A,0.97068775,1
22,A,A,0.60766321,1
23,A,B,0.00628990,1
24,A,B,0.19193280,1
25,A,A,0.98201376,1
26,B,B,0.02033235,0
27,B,B,0.02297737,0
28,A,A,0.95791227,1
29,B,A,0.94499469,0
30,B,A,0.65135491,0
31,B,B,0.36296922,0
32,B,B,0.23370634,0
33,A,A,0.57749540,1
34,A,B,0.01691491,1
35,A,B,0.00170072,1
36,B,B,0.05340333,0
37,B,A,0.96485513,0
38,A,A,0.78793120,1
39,B,B,0.06371500,0
