id,label_str,pred_str,p_A,label_num
0,B,A,0.59266663,0
1,B,A,0.66541058,0
2,A,B,0.45326188,1
3,A,B,0.46879065,1
4,A,A,0.62245935,1
5,B,A,0.69264197,0
6,A,A,0.70578504,1
7,B,B,0.46879065,0
8,A,A,0.57749540,1
9,B,A,0.69264197,0
10,A,A,0.80806720,1
11,A,B,0.43782350,1
12,B,A,0.66541058,0
13,A,A,0.65135491,1
14,B,B,0.45326188,0
15,A,A,0.57749540,1
16,A,A,0.54673815,1
17,A,A,0.53120941,1
18,B,A,0.76629364,0
19,A,A,0.65135491,1
20,B,A,0.60766321,0
21,A,A,0.75491500,1
22,B,A,0.57749540,0
23,B,B,0.46879065,0
24,A,A,0.51561993,1
25,B,A,0.65135491,0
26,B,A,0.74316794,0
27,B,B,0.46879065,0
28,A,A,0.56217653,1
29,B,A,0.56217653,0
30,B,A,0.59266663,0
31,A,A,0.63703084,1
32,B,A,0.69264197,0
33,B,A,0.65135491,0
34,B,A,0.66541058,0
35,B,A,0.75491500,0
36,B,A,0.60766321,0
37,A,A,0.70578504,1
38,B,B,0.42250463,0
39,B,A,0.74316794,0
