id,label_str,pred_str,p_A,label_num
0,B,A,0.54673815,0
1,A,B,0.48438010,1
2,B,A,0.59266663,0
3,A,B,0.32082132,1
4,A,B,0.48438010,1
5,A,B,0.21206881,1
6,A,A,0.73105854,1
7,B,A,0.62245935,0
8,B,B,0.40733343,0
9,B,B,0.09009299,0
10,B,B,0.18242551,0
11,B,A,0.79818678,0
12,A,B,0.36296922,1
13,B,A,0.50000000,0
14,B,B,0.26894143,0
15,A,B,0.22270015,1
16,B,A,0.77729988,0
17,A,A,0.60766321,1
18,B,A,0.74316794,0
19,B,B,0.32082132,0
20,A,B,0.42250463,1
21,B,A,0.79818678,0
22,A,B,0.40733343,1
23,A,A,0.71859437,1
24,B,A,0.67917871,0
25,A,B,0.39233685,1
26,B,B,0.16451645,0
27,A,A,0.71859437,1
28,A,B,0.42250463,1
29,A,B,0.40733343,1
30,A,A,0.53120941,1
31,B,A,0.70578504,0
32,B,B,0.39233685,0
33,B,B,0.32082132,0
34,B,B,0.40733343,0
35,B,B,0.24508502,0
36,A,A,0.73105854,1
37,B,A,0.57749540,0
38,B,A,0.60766321,0
39,B,A,0.74316794,0
