id,label_str,pred_str,p_A,label_num
0,A,A,0.73105854,1
1,A,B,0.14804719,1
2,B,B,0.08035747,0
3,A,B,0.20181322,1
4,A,A,0.90465051,1
5,B,B,0.01406363,0
6,A,A,0.99840218,1
7,B,A,0.57749540,0
8,A,B,0.02033235,1
9,B,A,0.53120941,0
10,A,B,0.07585818,1
11,B,B,0.03963884,0
12,B,B,0.32082132,0
13,A,B,0.00337661,1
14,A,A,0.60018831,1
15,A,A,0.87407720,1
16,B,A,0.94499469,0
17,A,B,0.08035747,1
18,A,B,0.21206881,1
19,B,B,0.00218272,0
20,B,A,0.90990698,0
21,A,A,0.76629364,1
22,A,A,0.85966372,1
23,A,B,0.48438010,1
24,A,A,0.91964257,1
25,A,A,0.91490096,1
26,A,A,0.99242276,1
27,A,B,0.10669060,1
28,A,B,0.11920292,1
29,B,A,0.79818678,0
30,A,B,0.34864515,1
31,A,B,0.30735803,1
32,B,A,0.99719906,0
33,B,B,0.07585818,0
34,B,B,0.06754670,0
35,A,B,0.00091105,1
36,B,B,0.13296424,0
37,B,B,0.09534946,0
38,A,B,0.26894143,1
39,A,B,0.16451645,1
40,A,B,0.36296922,1
41,A,A,0.67917871,1
42,B,A,0.93628502,0
43,A,B,0.03514485,1
44,B,B,0.03732688,0
45,A,A,0.94659668,1
46,B,B,0.14804719,0
47,A,B,0.03963884,1
48,B,B,0.02931223,0
49,A,A,0.71859437,1
