id,label_str,pred_str,p_A,label_num
0,B,B,0.00490541,0
1,B,B,0.36296922,0
2,A,A,0.99984157,1
3,A,B,0.40733343,1
4,B,B,0.02297737,0
5,B,B,0.22270015,0
6,A,B,0.14033625,1
7,A,B,0.15610491,1
8,A,B,0.26894143,1
9,A,B,0.02033235,1
10,B,B,0.00263167,0
11,B,B,0.03514485,0
12,B,A,0.91964257,0
13,A,A,0.99371004,1
14,A,A,0.54673815,1
15,A,B,0.42250463,1
16,A,A,0.98831278,1
17,B,B,0.28140560,0
18,B,B,0.09534946,0
19,A,B,0.20181322,1
20,A,B,0.07585818,1
21,B,B,0.22270015,0
22,A,B,0.04742587,1
23,B,B,0.28140560,0
24,A,A,0.65135491,1
25,A,A,0.99794930,1
26,B,B,0.11279540,0
27,A,A,0.99617553,1
28,A,A,0.99840218,1
29,A,B,0.24508502,1
30,A,A,0.73105854,1
31,B,B,0.14804719,0
32,A,B,0.02595736,1
33,B,B,0.03308598,0
34,A,B,0.00066670,1
35,A,A,0.99908900,1
36,A,B,0.39233685,1
37,B,B,0.03514485,0
38,B,A,0.84389514,0
39,B,B,0.30735803,0
