id,label_str,pred_str,p_A,label_num
0,B,B,0.21206881,0
1,A,B,0.06754670,1
2,B,A,0.93628502,0
3,A,A,0.92414182,1
4,A,B,0.00280093,1
5,A,B,0.10669060,1
6,B,A,0.99890125,0
7,A,A,0.94659668,1
8,A,B,0.42250463,1
9,B,A,0.63703084,0
10,B,B,0.00109873,0
11,B,A,0.89912134,0
12,A,B,0.23370634,1
13,B,A,0.81757444,0
14,B,A,0.59266663,0
15,A,B,0.34864515,1
16,A,A,0.99142247,1
17,B,B,0.03732688,0
18,A,B,0.24508502,1
19,B,B,0.00218272,0
20,A,A,0.99829930,1
21,A,B,0.33458945,1
22,B,B,0.00359360,0
23,B,A,0.99933332,0
24,A,B,0.01168726,1
25,B,A,0.99242276,0
26,B,A,0.53120941,0
27,B,A,0.76629364,0
28,A,A,0.99929035,1
29,B,B,0.00298103,0
30,A,A,0.79818678,1
31,B,B,0.11920292,0
32,B,A,0.97557688,0
33,A,B,0.00218272,1
34,B,B,0.17328820,0
35,A,B,0.01098694,1
36,B,B,0.01243165,0
37,A,B,0.10669060,1
38,B,A,0.81286734,0
39,A,A,0.51561993,1
