id,label_str,pred_str,p_A,label_num
0,A,A,0.70578504,1
1,B,A,0.98901308,0
2,B,A,0.59266663,0
3,A,A,0.93045825,1
4,A,B,0.36296922,1
5,A,B,0.01912404,1
6,A,B,0.03114383,1
7,A,B,0.11279540,1
8,B,A,0.81757444,0
9,B,B,0.22270015,0
10,A,A,0.66541058,1
11,B,B,0.48438010,0
12,B,A,0.98593640,0
13,A,B,0.42250463,1
14,A,A,0.95114219,1
15,B,A,0.67917871,0
16,B,A,0.50000000,0
17,A,B,0.09009299,1
18,B,A,0.94659668,0
19,A,B,0.04084572,1
20,A,A,0.80806720,1
21,B,A,0.50000000,0
22,B,A,0.98998636,0
23,B,A,0.99553156,0
24,A,A,0.53120941,1
25,A,B,0.07159120,1
26,B,A,0.99629277,0
27,A,B,0.06371500,1
28,A,A,0.86339158,1
29,A,B,0.03308598,1
30,A,A,0.95791227,1
31,A,A,0.97966766,1
32,A,B,0.03846619,1
33,B,A,0.67917871,0
34,A,A,0.93439513,1
35,A,B,0.21206881,1
36,B,A,0.69264197,0
37,B,B,0.36296922,0
38,B,A,0.99509466,0
39,B,A,0.65135491,0
40,B,A,0.96789932,0
41,B,A,0.57749540,0
42,A,B,0.03732688,1
43,B,A,0.98934746,0
44,B,B,0.33458945,0
45,B,A,0.99736834,0
46,A,A,0.95791227,1
47,B,A,0.99767691,0
48,A,A,0.91243619,1
49,B,A,0.99168420,0
