id,label_str,pred_str,p_A,label_num
0,A,B,0.00001385,1
1,A,A,0.99999976,1
2,A,A,0.99999857,1
3,B,B,0.00327306,0
4,A,A,0.80193585,1
5,B,A,1.00000000,0
6,A,A,0.99764037,1
7,B,B,0.00000000,0
8,A,B,0.00000982,1
9,B,A,1.00000000,0
10,A,B,0.00000000,1
11,A,B,0.00000000,1
12,B,A,1.00000000,0
13,A,A,0.73105854,1
14,A,B,0.02442309,1
15,A,A,1.00000000,1
16,A,A,0.99999988,1
17,B,A,1.00000000,0
18,B,A,0.95257413,0
19,A,B,0.00000033,1
20,A,A,1.00000000,1
21,A,A,1.00000000,1
22,A,A,1.00000000,1
23,A,A,0.79818678,1
24,B,A,1.00000000,0
25,B,A,0.99999917,0
26,B,A,0.99996459,0
27,A,A,1.00000000,1
28,B,A,1.00000000,0
29,A,A,0.99999881,1
30,A,A,0.99997568,1
31,B,B,0.00009315,0
32,A,A,0.89330941,1
33,B,B,0.00000367,0
34,B,A,0.99999940,0
35,A,A,0.99989450,1
36,B,A,1.00000000,0
37,B,B,0.00000047,0
38,B,A,0.99193794,0
39,B,A,0.99242276,0
40,A,A,1.00000000,1
41,B,A,0.99979657,0
42,B,B,0.00000000,0
43,A,B,0.00000397,1
44,A,B,0.00001474,1
45,A,A,0.99999583,1
46,A,B,0.00041407,1
47,A,A,1.00000000,1
48,B,B,0.10818895,0
49,B,B,0.00205074,0
