id,label_str,pred_str,p_A,label_num
0,A,B,0.00000373,1
1,B,B,0.20181322,0
2,B,A,0.99999750,0
3,B,B,0.00000042,0
4,B,B,0.00150118,0
5,A,B,0.00000000,1
6,A,A,0.81757444,1
7,B,A,0.67917871,0
8,A,B,0.15610491,1
9,B,B,0.00000004,0
10,B,B,0.00000006,0
11,B,A,0.99959558,0
12,B,B,0.00000000,0
13,B,B,0.03114383,0
14,B,B,0.00000000,0
15,A,A,1.00000000,1
16,A,B,0.43782350,1
17,B,A,0.96691406,0
18,B,B,0.20181322,0
19,B,B,0.02442309,0
20,A,B,0.00000422,1
21,A,B,0.00000017,1
22,A,B,0.00013135,1
23,A,B,0.00000000,1
24,A,B,0.00041732,1
25,B,B,0.00001301,0
26,A,B,0.00000061,1
27,B,B,0.00002144,0
28,A,A,0.99999964,1
29,B,A,0.99999797,0
30,B,B,0.00040448,0
31,B,B,0.46879065,0
32,B,B,0.00181021,0
33,B,B,0.07159120,0
34,A,B,0.39233685,1
35,B,A,0.56217653,0
36,A,A,0.53120941,1
37,B,B,0.01691491,0
38,B,B,0.00000000,0
39,B,B,0.00247262,0
40,B,B,0.00000176,0
41,A,A,0.99961996,1
42,A,B,0.05033063,1
43,B,B,0.00000110,0
44,B,B,0.00066670,0
45,B,A,1.00000000,0
46,A,A,0.99818975,1
47,A,B,0.00669285,1
48,B,B,0.00000339,0
49,A,B,0.00280093,1
