id,label_str,pred_str,p_A,label_num
0,A,B,0.40733343,1
1,A,B,0.48438010,1
2,B,B,0.39233685,0
3,B,A,0.60766321,0
4,B,B,0.46879065,0
5,A,B,0.40733343,1
6,A,B,0.28140560,1
7,A,B,0.30735803,1
8,A,A,0.57749540,1
9,B,B,0.37754068,0
10,A,A,0.53120941,1
11,B,B,0.30735803,0
12,A,B,0.40733343,1
13,B,B,0.45326188,0
14,B,B,0.39233685,0
15,A,B,0.36296922,1
16,B,B,0.45326188,0
17,B,B,0.48438010,0
18,A,B,0.33458945,1
19,B,B,0.30735803,0
20,B,B,0.43782350,0
21,B,B,0.45326188,0
22,B,A,0.56217653,0
23,A,B,0.46879065,1
24,A,B,0.46879065,1
25,B,B,0.43782350,0
26,B,B,0.45326188,0
27,A,B,0.39233685,1
28,B,B,0.33458945,0
29,B,A,0.54673815,0
30,A,B,0.32082132,1
31,A,B,0.36296922,1
32,B,B,0.45326188,0
33,A,B,0.37754068,1
34,B,B,0.40733343,0
35,B,B,0.48438010,0
36,B,B,0.28140560,0
37,A,B,0.45326188,1
38,B,B,0.40733343,0
39,B,B,0.39233685,0
