id,label_str,pred_str,p_A,label_num
0,A,A,0.89330941,1
1,A,A,0.97068775,1
2,A,A,0.53120941,1
3,B,A,0.92414182,0
4,A,A,0.70578504,1
5,B,A,0.89330941,0
6,A,B,0.46879065,1
7,B,B,0.04742587,0
8,A,B,0.17328820,1
9,B,A,0.93991333,0
10,A,B,0.29421496,1
11,A,B,0.33458945,1
12,B,A,0.86703575,0
13,A,A,0.71859437,1
14,A,A,0.62245935,1
15,A,B,0.24508502,1
16,A,A,0.95257413,1
17,B,A,0.99087441,0
18,B,A,0.92414182,0
19,A,B,0.24508502,1
20,A,B,0.46879065,1
21,A,A,0.73105854,1
22,A,A,0.65135491,1
23,A,B,0.40733343,1
24,B,A,0.69264197,0
25,B,A,0.56217653,0
26,B,A,0.57749540,0
27,A,B,0.37754068,1
28,B,A,0.84796774,0
29,A,A,0.99444515,1
30,A,A,0.89330941,1
31,B,B,0.16451645,0
32,A,A,0.71859437,1
33,B,B,0.39233685,0
34,B,A,0.85195285,0
35,A,B,0.24508502,1
36,B,A,0.97702265,0
37,B,A,0.51561993,0
38,B,A,0.70578504,0
39,B,A,0.71859437,0
40,A,A,0.53120941,1
41,B,B,0.21206881,0
42,B,A,0.54673815,0
43,A,A,0.94659668,1
44,A,A,0.54673815,1
45,A,A,0.66541058,1
46,A,B,0.39233685,1
47,A,A,0.65135491,1
48,B,A,0.87407720,0
49,B,A,0.76629364,0
