id,label_str,pred_str,p_A,label_num
0,B,B,0.09534946,0
1,B,B,0.12592277,0
2,A,A,0.50000000,1
3,A,B,0.29421496,1
4,B,A,0.85966372,0
5,A,A,0.83548355,1
6,B,B,0.17328820,0
7,A,B,0.43782350,1
8,A,A,0.81757444,1
9,B,B,0.34864515,0
10,A,A,0.92414182,1
11,A,B,0.21206881,1
12,A,A,0.67917871,1
13,B,B,0.33458945,0
14,B,B,0.11920292,0
15,A,A,0.50000000,1
16,A,A,0.65135491,1
17,B,A,0.63703084,0
18,B,A,0.67917871,0
19,B,A,0.69264197,0
20,B,B,0.03514485,0
21,A,B,0.39233685,1
22,A,A,0.88079703,1
23,B,B,0.42250463,0
24,A,B,0.39233685,1
25,A,B,0.40733343,1
26,B,B,0.33458945,0
27,B,B,0.37754068,0
28,B,B,0.45326188,0
29,A,B,0.30735803,1
30,A,B,0.37754068,1
31,B,B,0.09009299,0
32,B,A,0.65135491,0
33,A,B,0.32082132,1
34,B,B,0.17328820,0
35,A,B,0.30735803,1
36,B,A,0.70578504,0
37,B,A,0.73105854,0
38,A,A,0.66541058,1
39,B,B,0.37754068,0
40,B,B,0.37754068,0
41,A,B,0.42250463,1
42,A,A,0.85195285,1
43,A,B,0.36296922,1
44,B,B,0.48438010,0
45,A,B,0.28140560,1
46,B,B,0.19193280,0
47,B,B,0.03114383,0
48,B,B,0.22270015,0
49,B,B,0.36296922,0
