id,label_str,pred_str,p_A,label_num
0,A,B,0.42250463,1
1,A,B,0.09009299,1
2,B,B,0.40733343,0
3,A,B,0.34864515,1
4,B,B,0.01168726,0
5,A,B,0.06754670,1
6,A,B,0.03963884,1
7,B,B,0.21206881,0
8,B,A,0.91964257,0
9,A,A,0.92840880,1
10,B,A,0.60766321,0
11,A,A,0.82671177,1
12,B,B,0.22270015,0
13,A,A,0.56217653,1
14,A,B,0.20181322,1
15,B,B,0.01798621,0
16,A,B,0.26894143,1
17,A,A,0.84389514,1
18,B,B,0.34864515,0
19,A,B,0.09534946,1
20,B,B,0.24508502,0
21,B,B,0.03514485,0
22,B,B,0.00757724,0
23,B,A,0.66541058,0
24,B,B,0.23370634,0
25,B,B,0.05340333,0
26,A,B,0.26894143,1
27,B,B,0.33458945,0
28,A,B,0.14033625,1
29,B,B,0.14033625,0
30,B,A,0.90990698,0
31,A,B,0.22270015,1
32,A,B,0.28140560,1
33,A,B,0.02931223,1
34,A,B,0.28140560,1
35,B,B,0.21206881,0
36,B,B,0.12592277,0
37,B,B,0.00970848,0
38,A,B,0.37754068,1
39,A,A,0.66541058,1
