id,label_str,pred_str,p_A,label_num
0,B,A,0.56217653,0
1,A,A,0.59266663,1
2,B,B,0.46879065,0
3,A,A,0.59266663,1
4,A,B,0.36296922,1
5,A,A,0.51561993,1
6,B,A,0.66541058,0
7,A,A,0.51561993,1
8,A,A,0.54673815,1
9,B,B,0.33458945,0
10,B,A,0.56217653,0
11,B,B,0.42250463,0
12,A,B,0.37754068,1
13,B,A,0.51561993,0
14,B,A,0.66541058,0
15,A,A,0.54673815,1
16,A,A,0.62245935,1
17,B,A,0.53120941,0
18,A,A,0.57749540,1
19,B,A,0.59266663,0
20,A,A,0.71859437,1
21,A,B,0.48438010,1
22,B,B,0.48438010,0
23,B,A,0.62245935,0
24,A,B,0.39233685,1
25,B,A,0.62245935,0
26,B,B,0.48438010,0
27,B,A,0.53120941,0
28,A,A,0.53120941,1
29,B,B,0.39233685,0
30,A,A,0.57749540,1
31,B,B,0.34864515,0
32,B,A,0.51561993,0
33,A,B,0.22270015,1
34,B,B,0.48438010,0
35,A,B,0.43782350,1
36,B,A,0.51561993,0
37,A,B,0.39233685,1
38,B,B,0.42250463,0
39,A,B,0.33458945,1
