id,label_str,pred_str,p_A,label_num
0,A,B,0.45326188,1
1,B,A,0.66541058,0
2,B,A,0.63703084,0
3,B,B,0.48438010,0
4,A,B,0.48438010,1
5,B,A,0.56217653,0
6,A,A,0.56217653,1
7,A,A,0.82671177,1
8,B,B,0.39233685,0
9,B,B,0.48438010,0
10,B,A,0.82671177,0
11,A,A,0.78793120,1
12,A,A,0.66541058,1
13,A,A,0.80806720,1
14,A,A,0.65135491,1
15,B,A,0.54673815,0
16,B,A,0.69264197,0
17,A,A,0.84389514,1
18,B,B,0.42250463,0
19,B,A,0.77729988,0
20,B,A,0.67917871,0
21,A,B,0.30735803,1
22,B,B,0.46879065,0
23,A,A,0.57749540,1
24,B,B,0.45326188,0
25,A,B,0.37754068,1
26,B,A,0.62245935,0
27,A,A,0.51561993,1
28,A,A,0.65135491,1
29,A,A,0.51561993,1
30,B,A,0.57749540,0
31,B,B,0.46879065,0
32,A,A,0.63703084,1
33,A,B,0.36296922,1
34,B,A,0.66541058,0
35,A,A,0.59266663,1
36,A,A,0.57749540,1
37,A,A,0.73105854,1
38,A,A,0.65135491,1
39,A,A,0.70578504,1
