id,label_str,pred_str,p_A,label_num
0,A,B,0.21206881,1
1,A,B,0.40733343,1
2,B,A,0.51561993,0
3,A,A,0.56217653,1
4,A,B,0.28140560,1
5,A,A,0.54673815,1
6,B,B,0.32082132,0
7,B,B,0.46879065,0
8,B,B,0.33458945,0
9,A,A,0.63703084,1
10,B,A,0.59266663,0
11,B,A,0.81757444,0
12,A,A,0.70578504,1
13,B,A,0.92840880,0
14,B,A,0.92414182,0
15,A,A,0.62245935,1
16,A,A,0.51561993,1
17,A,B,0.36296922,1
18,A,B,0.45326188,1
19,A,B,0.43782350,1
20,A,B,0.37754068,1
21,B,A,0.56217653,0
22,A,B,0.46879065,1
23,B,A,0.54673815,0
24,B,B,0.28140560,0
25,B,A,0.70578504,0
26,A,B,0.43782350,1
27,A,B,0.39233685,1
28,A,B,0.48438010,1
29,A,B,0.22270015,1
30,A,A,0.77729988,1
31,A,A,0.87407720,1
32,A,A,0.51561993,1
33,A,A,0.53120941,1
34,B,A,0.65135491,0
35,B,B,0.40733343,0
36,A,A,0.63703084,1
37,A,A,0.80806720,1
38,A,A,0.70578504,1
39,B,B,0.46879065,0
40,B,A,0.67917871,0
41,A,B,0.25683200,1
42,B,A,0.70578504,0
43,B,A,0.86703575,0
44,B,A,0.53120941,0
45,A,A,0.63703084,1
46,A,B,0.22270015,1
47,B,A,0.60766321,0
48,B,A,0.60766321,0
49,A,B,0.45326188,1
