id,label_str,pred_str,p_A,label_num
0,A,A,0.59266663,1
1,B,B,0.46879065,0
2,B,B,0.46879065,0
3,B,A,0.71859437,0
4,A,A,0.75491500,1
5,B,A,0.54673815,0
6,B,B,0.48438010,0
7,A,A,0.51561993,1
8,B,B,0.39233685,0
9,B,A,0.74316794,0
10,A,A,0.69264197,1
11,B,A,0.53120941,0
12,B,B,0.30735803,0
13,A,B,0.45326188,1
14,B,B,0.37754068,0
15,A,B,0.33458945,1
16,A,B,0.42250463,1
17,A,B,0.43782350,1
18,B,B,0.39233685,0
19,B,B,0.29421496,0
20,A,A,0.74316794,1
21,A,B,0.43782350,1
22,A,B,0.48438010,1
23,A,A,0.84389514,1
24,A,A,0.60766321,1
25,B,B,0.42250463,0
26,A,A,0.59266663,1
27,A,A,0.59266663,1
28,A,B,0.36296922,1
29,B,A,0.56217653,0
30,A,A,0.62245935,1
31,B,B,0.26894143,0
32,B,A,0.60766321,0
33,A,B,0.46879065,1
34,B,A,0.65135491,0
35,B,A,0.54673815,0
36,A,A,0.71859437,1
37,A,A,0.62245935,1
38,A,A,0.85195285,1
39,B,B,0.20181322,0
