id,label_str,pred_str,p_A,label_num
0,A,B,0.08035747,1
1,B,B,0.00027803,0
2,B,B,0.00091105,0
3,A,A,0.98901308,1
4,A,A,0.99919587,1
5,A,A,0.99330717,1
6,A,A,0.97838473,1
7,A,A,0.70578504,1
8,B,B,0.00091105,0
9,B,B,0.00433150,0
10,A,A,0.96267307,1
11,B,B,0.02758528,0
12,B,A,0.85195285,0
13,A,B,0.01912404,1
14,A,A,0.82671177,1
15,B,B,0.00070967,0
16,B,B,0.00066670,0
17,A,A,0.59266663,1
18,B,B,0.00010890,0
19,A,A,0.98756832,1
20,A,B,0.01798621,1
21,B,B,0.00062633,0
22,B,B,0.00150118,0
23,B,B,0.00109873,0
24,A,A,0.99933332,1
25,A,A,0.99640638,1
26,B,B,0.00181021,0
27,A,A,0.97557688,1
28,A,A,0.98831278,1
29,A,A,0.99371004,1
30,A,A,0.79818678,1
31,A,A,0.53120941,1
32,A,A,0.99966466,1
33,B,B,0.00109873,0
34,A,A,0.92840880,1
35,A,B,0.42250463,1
36,B,B,0.23370634,0
37,B,B,0.00712143,0
38,B,B,0.00003120,0
39,B,B,0.00003427,0
40,B,B,0.00205074,0
41,B,B,0.04208773,0
42,A,A,0.89330941,1
43,B,A,0.89912134,0
44,B,B,0.01495709,0
45,B,B,0.00001222,0
46,A,A,0.81757444,1
47,B,B,0.00628990,0
48,A,B,0.21206881,1
49,B,B,0.00490541,0
